id;nome;rua;bairro ;cidade;cep;estado
18220;CASA DE CARNES DUNUT;RUA SANTO INACIO, 176;CENTRO;BALNEARIO BARRA DO SUL;89247000;SC
18221;MINI KALZONE;AVENIDA LEDIO JOAO MARTINS LOJA 04, 401;KOBRASOL;SAO JOSE;88102000;SC
18222;BARAUNA;SERVIDAO LUA NOVA, 220;INGLESES DO RIO VERMELHO;FLORIANOPOLIS;88058450;SC
18223;MINI KALZONE;RUA PROFESSORA ANTONIETA DE BARROS, 192;CANTO;FLORIANOPOLIS;88070700;SC
18230;CHAMORRORECHINI;R ISID DUTRA, 944;SAMBAQUI;FLORIANOPOLIS;88051011;SC
18242;EL CAPITAN;RUA ANTENOR BORGES, 579;CANASVIEIRAS;FLORIANOPOLIS;88054070;SC
18244;PONTO HORTIFRUTI;RUA SANTA CLARA DE ASSIS, 322;DEMBOSKI;ICARA;88820000;SC
18254;MINI KALZONE;RUA SANTO ANTONIO, 359;BARREIROS;SAO JOSE;88117350;SC
18255;MINI KALZONE;RUA VEREADOR ARTHUR MANOEL MARIANO, 880;FORQUILHINHAS;SAO JOSE;88106500;SC
18262;BOTECO DA KOMBI;RUA DAS PAPOULAS, 100;DANIELA;FLORIANOPOLIS;88053150;SC
18263;POSTO FLEX;RUA BERNARDO DORNBUSCH, 300;VILA BAEPENDI;JARAGUA DO SUL;89256100;SC
18275;ALAMBIQUE MODERNO;AVENIDA PREFEITO ACACIO GARIBALDI S. THI;LAGOA DA CONCEICAO;FLORIANOPOLIS;88062600;SC
18277;H20 DISTRIBUIDORA;RUA AURORA, 415;GUATUPE;SAO JOSE DOS PINHAIS;83060680;PR
18285;M.R BEBIDAS FLORIPA;AVENIDA PREFEITO ACACIO GARIBALDI S. THI;LAGOA DA CONCEICAO;FLORIANOPOLIS;88062600;SC
18289;DISTRIBUIDORA DISTRI;R MARIO COLOMBO, 189;ALTO BOQUEIRAO;CURITIBA;81770374;PR
18290;MERCADO E ACOUGUE JU;RUA DOUTOR BLEY ZORNIG, 371;BOQUEIRAO;CURITIBA;81730350;PR
18293;CASA DE CARNES SANTO;RUA CAMARISTA JOAO HIRT, 605;CAMPO DO GADO;RIO NEGRO;83883020;PR
18298;CONVENIENCIA MANO;AV. NEREU RAMOS. SALA 1, 207;CENTRO;PICARRAS;88380000;SC
18307;M V M BALDUINO;AVENIDA COMENDADOR FRANCO, 2784;GUABIROTUBA;CURITIBA;81520000;PR
18317;AMOR A ILHA;SERVIDAO MANOEL PACIFICO DA SILVA, 348;INGLESES DO RIO VERMELHO;FLORIANOPOLIS;88058072;SC
18322;JP CONVENIENCIA;R CARLOS ROBERTO VILPERT, 1375;R CARLOS ROBERTO VILPERT;JOINVILLE;89225701;SC
18324;LA BODEGUITA DISTRIB;RUA PASTOR ANTONIO POLITO, 2101;ALTO BOQUEIRAO;CURITIBA;81770260;PR
18328;M.R BEBIDAS CORREGO;JOAO PIO DUARTE SILVA, 359;CORREGO GRANDE;FLORIANOPOLIS;88037000;SC
18332;TREATS PEDRA BRANCA;AVENIDA DA PEDRA BRANCA, 27;PEDRA BRANCA;PALHOCA;88137270;SC
18357;DISTRIBUIDORA ABS;AV PROFESSOR JOAO JOSE DA CRUZ, 681;CANTO GRANDE;BOMBINHAS;88215000;SC
18361;TABERNA CONVENIENCIA;RUA ITAJUBA, 0;PRAIA DO ERVINO;SAO FRANCISCO DO SUL;89240000;SC
18364;FIFO LEVE MAIS;R JOAO PESSOA, 1881;VELHA;BLUMENAU;89036005;SC
18371;CONVENIENCIA MANO;AVENIDA NEREU RAMOS, SALA 01,207;CENTRO;PICARRAS;88380000;SC
18376;ENTRE AMIGOS;RUA SANTA MONICA, 692;CAPAO RASO;CURITIBA;81110400;PR
18378;IRON BEER;RUA DAS CARMELITAS, 1242;BOQUEIRAO;CURITIBA;81650060;PR
18379;COMERCIAL IPANEMA;RUA SANTA CATARINA, 1510;FLORESTA;JOINVILLE;89211301;SC
18381;SAIDEIRA EM CASA;AV PEQUENO PRINCIPE, 1675;CAMPECHE;FLORIANOPOLIS;88063000;SC
18384;EVOLUTION;R ANTONIO MOREIRA LOPES, 1100;CAJURU;CURITIBA;82980100;PR
18385;ORIENTE BEBIDAS;EST CRISTOVAO MACHADO DE CAMPOS - ATE 49;VARGEM GRANDE;FLORIANOPOLIS;88052600;SC
18386;ADEGA DO NEGO;RUA DEPUTADO LUIZ GABRIEL SAMPAIO, 727;GUATUPE;SAO JOSE DOS PINHAIS;83060040;PR
18401;CONVENIENCIA MARECHA;R MARECHAL FLORIANO PEIXOTO, 981;PADRE MARTINHO STEIN;TIMBO;89093880;SC
18403;DUFF BEBIDAS;RUA ONOFRE HOLTHMAN, 615;RIO PEQUENO;SAO JOSE DOS PINHAIS;83085520;PR
18404;DUFF BEBIDAS MATRIZ;RUA PROFESSORA DOLORES TABORDA RIBAS, 54;RIO PEQUENO;SAO JOSE DOS PINHAIS;83065510;PR
18411;DISTRIBUIDORA DE BEB;REINALDO MIGUEL VALENGA, 390;COSTEIRA;SAO JOSE DOS PINHAIS;83015640;PR
18416;ASMART STORE;EST CRISTOVAO MACHADO DE CAMPOS, 221;VARGEM GRANDE;FLORIANOPOLIS;88052600;SC
18420;TOP 10 CONVENIENCIA;SILVIO INACIO DA SILVA, 124;BOM RETIRO;MATINHOS;83260000;PR
18421;MAROLA BEER;MOREIRA SALES, 1539;SERTAOZINHO;MATINHOS;83260000;PR
18424;DISTRIBUIDORA DOUG;AV ENGENHEIRO LEONEL DE MOURA BRIZOLA, 2;JARDIM OURO FINO;PARANAGUA;83215700;PR
